N_count,S_count,E_count,W_count,N_queue,S_queue,E_queue,W_queue,N_arrival,S_arrival,E_arrival,W_arrival,N_speed,S_speed,E_speed,W_speed,N_queue_growth,S_queue_growth,E_queue_growth,W_queue_growth,current_phase,elapsed_phase_time,scenario_id,cycle_idx,archetype,true_N_rate,true_S_rate,true_E_rate,true_W_rate,target_plan,best_delay
5.0,7.0,13.0,1.0,0.0,0.0,8.0,0.0,8.0,6.0,30.0,12.0,2.6,1.12,11.23,13.75,-3.0,-5.0,3.0,0.0,0.0,0.0,18,2,slight_ew,16.0,14.7,22.5,19.2,P2,15.8
16.0,22.0,4.0,5.0,0.0,2.0,0.0,0.0,20.0,24.0,16.0,18.0,1.73,1.21,12.38,12.29,-10.0,-15.0,-1.0,0.0,0.0,0.0,18,3,slight_ew,16.0,14.7,22.5,19.2,P3,20.34
21.0,20.0,5.0,6.0,4.0,3.0,0.0,1.0,28.0,28.0,18.0,16.0,1.77,1.79,13.27,11.37,-8.0,-9.0,0.0,1.0,0.0,0.0,19,1,slight_ns,22.1,17.5,13.2,13.4,P6,18.75
16.0,10.0,2.0,2.0,2.0,0.0,1.0,0.0,24.0,14.0,10.0,4.0,2.9,3.37,10.27,12.66,-7.0,-5.0,1.0,0.0,0.0,0.0,19,2,slight_ns,22.1,17.5,13.2,13.4,P7,22.86
30.0,11.0,7.0,2.0,17.0,0.0,3.0,1.0,36.0,18.0,24.0,12.0,3.32,4.66,10.29,11.63,-4.0,-4.0,-1.0,1.0,0.0,0.0,19,3,slight_ns,22.1,17.5,13.2,13.4,P7,27.36
34.0,23.0,1.0,2.0,16.0,5.0,0.0,0.0,44.0,22.0,10.0,6.0,1.48,1.55,14.02,14.4,-3.0,-9.0,0.0,0.0,0.0,0.0,20,1,heavy_ns,35.6,30.8,7.4,6.5,P7,39.49
51.0,21.0,2.0,2.0,38.0,8.0,0.0,1.0,42.0,24.0,6.0,10.0,3.44,3.05,12.09,10.85,-3.0,-4.0,0.0,1.0,0.0,0.0,20,2,heavy_ns,35.6,30.8,7.4,6.5,P7,59.47
70.0,37.0,3.0,1.0,57.0,24.0,0.0,0.0,30.0,38.0,10.0,4.0,3.27,3.48,12.02,13.83,-3.0,-4.0,0.0,0.0,0.0,0.0,20,3,heavy_ns,35.6,30.8,7.4,6.5,P7,74.9
12.0,7.0,21.0,15.0,0.0,0.0,16.0,9.0,14.0,4.0,34.0,26.0,1.69,1.77,10.73,10.99,-8.0,-5.0,2.0,2.0,0.0,0.0,21,1,moderate_ew,14.0,11.6,31.8,25.0,P1,38.33
15.0,9.0,31.0,27.0,0.0,0.0,26.0,23.0,20.0,16.0,18.0,28.0,2.53,2.48,10.33,10.52,-7.0,-4.0,3.0,5.0,0.0,0.0,21,2,moderate_ew,14.0,11.6,31.8,25.0,P1,49.7
15.0,12.0,48.0,34.0,0.0,0.0,43.0,28.0,16.0,10.0,38.0,32.0,2.47,0.39,10.02,11.17,-8.0,-10.0,5.0,1.0,0.0,0.0,21,3,moderate_ew,14.0,11.6,31.8,25.0,P1,61.19
18.0,22.0,3.0,7.0,0.0,4.0,0.0,2.0,20.0,26.0,8.0,26.0,0.92,1.62,12.79,12.58,-13.0,-9.0,0.0,2.0,0.0,0.0,22,1,balanced,18.3,20.6,20.2,20.2,P3,21.34
14.0,20.0,10.0,11.0,0.0,0.0,4.0,6.0,14.0,12.0,18.0,22.0,2.21,1.05,9.64,11.38,-9.0,-16.0,1.0,-3.0,0.0,0.0,22,2,balanced,18.3,20.6,20.2,20.2,P3,23.79
13.0,17.0,13.0,13.0,1.0,0.0,7.0,7.0,14.0,18.0,20.0,26.0,0.82,2.02,10.46,10.17,-6.0,-11.0,0.0,0.0,0.0,0.0,22,3,balanced,18.3,20.6,20.2,20.2,P3,26.28
10.0,14.0,8.0,8.0,0.0,0.0,4.0,2.0,10.0,24.0,22.0,32.0,1.42,2.87,10.13,10.9,-7.0,-5.0,4.0,2.0,0.0,0.0,23,1,slight_ew,13.4,14.7,21.7,22.7,P1,19.15
8.0,13.0,8.0,13.0,0.0,0.0,3.0,8.0,10.0,10.0,24.0,22.0,1.83,1.52,11.01,10.48,-3.0,-9.0,1.0,1.0,0.0,0.0,23,2,slight_ew,13.4,14.7,21.7,22.7,P2,21.19
10.0,19.0,10.0,6.0,0.0,0.0,5.0,2.0,10.0,16.0,30.0,6.0,1.72,1.02,10.57,10.08,-6.0,-14.0,1.0,-1.0,0.0,0.0,23,3,slight_ew,13.4,14.7,21.7,22.7,P2,20.49
7.0,34.0,10.0,17.0,0.0,15.0,4.0,12.0,10.0,34.0,22.0,30.0,6.12,1.3,10.97,10.23,-2.0,-11.0,1.0,3.0,0.0,0.0,26,1,random_mix,11.0,30.8,30.1,30.0,P1,46.03
10.0,53.0,11.0,36.0,0.0,31.0,7.0,30.0,8.0,26.0,28.0,34.0,1.49,0.74,10.41,10.72,-8.0,-14.0,3.0,-1.0,0.0,0.0,26,2,random_mix,11.0,30.8,30.1,30.0,P1,60.56
6.0,66.0,19.0,54.0,0.0,42.0,13.0,50.0,6.0,30.0,24.0,26.0,0.38,0.54,11.0,10.48,-5.0,-18.0,3.0,3.0,0.0,0.0,26,3,random_mix,11.0,30.8,30.1,30.0,P1,77.65
14.0,10.0,26.0,9.0,0.0,0.0,20.0,5.0,18.0,10.0,46.0,16.0,2.27,2.91,9.87,10.55,-7.0,-7.0,4.0,3.0,0.0,0.0,27,1,moderate_ew,10.6,9.1,31.5,25.2,P1,42.2
12.0,12.0,49.0,24.0,0.0,0.0,43.0,18.0,8.0,10.0,44.0,42.0,1.16,0.85,10.69,11.41,-9.0,-11.0,4.0,0.0,0.0,0.0,27,2,moderate_ew,10.6,9.1,31.5,25.2,P1,60.72
5.0,8.0,73.0,29.0,0.0,0.0,68.0,23.0,4.0,8.0,40.0,16.0,2.29,1.66,10.61,10.85,-3.0,-5.0,8.0,1.0,0.0,0.0,27,3,moderate_ew,10.6,9.1,31.5,25.2,P1,75.98
19.0,6.0,16.0,31.0,1.0,0.0,10.0,26.0,20.0,8.0,28.0,56.0,1.55,3.57,11.22,10.35,-10.0,-3.0,3.0,7.0,0.0,0.0,28,1,random_mix,14.7,8.4,29.0,30.7,P1,44.12
9.0,8.0,29.0,44.0,0.0,0.0,23.0,39.0,4.0,4.0,30.0,34.0,1.85,0.27,10.74,10.1,-7.0,-7.0,1.0,3.0,0.0,0.0,28,2,random_mix,14.7,8.4,29.0,30.7,P1,60.94
18.0,10.0,44.0,56.0,1.0,0.0,40.0,51.0,22.0,6.0,34.0,28.0,0.92,2.42,10.43,10.72,-11.0,-7.0,6.0,2.0,0.0,0.0,28,3,random_mix,14.7,8.4,29.0,30.7,P1,71.83
13.0,18.0,14.0,3.0,0.0,0.0,9.0,0.0,20.0,16.0,24.0,20.0,0.88,1.69,10.02,12.75,-11.0,-12.0,1.0,0.0,0.0,0.0,29,1,balanced,20.8,21.3,20.0,18.7,P3,22.61
17.0,20.0,11.0,6.0,0.0,0.0,5.0,0.0,18.0,20.0,14.0,22.0,1.13,1.04,10.39,11.8,-10.0,-15.0,1.0,-1.0,0.0,0.0,29,2,balanced,20.8,21.3,20.0,18.7,P1,27.46
28.0,23.0,10.0,11.0,5.0,6.0,5.0,6.0,22.0,28.0,16.0,20.0,0.69,1.89,10.41,10.66,-18.0,-11.0,1.0,2.0,0.0,0.0,29,3,balanced,20.8,21.3,20.0,18.7,P5,34.13
34.0,31.0,3.0,2.0,17.0,13.0,0.0,0.0,30.0,38.0,12.0,4.0,1.79,1.57,13.08,12.17,-7.0,-8.0,0.0,0.0,0.0,0.0,30,1,heavy_ns,38.8,29.5,6.1,8.5,P7,49.74
55.0,48.0,2.0,1.0,43.0,36.0,0.0,0.0,42.0,44.0,8.0,8.0,3.77,3.8,11.68,14.4,-3.0,-2.0,0.0,0.0,0.0,0.0,30,2,heavy_ns,38.8,29.5,6.1,8.5,P7,70.43
75.0,62.0,2.0,0.0,62.0,49.0,0.0,0.0,34.0,32.0,6.0,2.0,3.46,3.49,13.2,13.87,1.0,-4.0,0.0,0.0,0.0,0.0,30,3,heavy_ns,38.8,29.5,6.1,8.5,P7,87.89
